Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Central Europe and the Baltics,CEB,11287.56632,12047.83996,13503.37252,12361,12574.7,13142.7,13622,14138.7,14572.3,29901.3,31129.8,33804.6,36163.4,40625.5,46967.7,49950,54736.9,61886.7,65300.2,69896.5,73984.7,77189.1,80287
Switzerland,CHE,6098,6651,6871,7372,7220,7568.4,7863.9,7983.9,8194.5,11834.8,11632,11703.2,12435.7,13753.7,15151.3,16214.1,16702.5,17121.9,17836.8,18545.5,19483.7,20613.6,21060.4
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,819,835,877,798,888.6,920.3,954.3,991.8,1058.9,1478.5,1564.8,1944.8,2002.3,2255.7,2520.6,3063.6,3399.8,3825.4,4103.6,4198.5,4617.3,5115.8,5157.6
China,CHN,6186,6956,7566,7821,9061.4,10526.1,12171.6,13781.3,15714.7,47289.8,59412.4,61106.8,71113.3,106844,156585.6,181690.5,207175.3,240030.2,278947.4,305827,351462.8,372038.4,401434.5
Cote d'Ivoire,CIV,36,37,32,47,39.9,31.1,40,53.9,47.9,70.1,74.8,70.8,92.3,107.8,102.4,103.3,154.3,222.3,190.2,207.3,218.8,220,169.2
Cameroon,CMR,54,58,75,84,66,60.5,83.3,74.2,70.6,118.1,137.5,168.4,197.1,207.6,281.7,331.7,366.7,342.8,371.6,401.4,450.8,457.1,526.8
"Congo, Dem. Rep.",COD,21,26,21,19,19.3,13.8,15.8,6.9,6,1.8,2,1.6,2.1,3.5,5.4,8.1,7.2,8.4,16.2,18.3,13.7,21.4,16.4
"Congo, Rep.",COG,14,18,8,10,5.8,9.9,7.6,11.9,12.5,23.2,20.7,31.3,46.9,47,65.1,63.5,73.6,74.9,71,91.8,95.2,114.2,136.8
Colombia,COL,106,125,122,145,162.3,194.7,234.9,247.7,240.3,510.2,505.7,649,654.5,804.9,966.4,1346.2,1565.3,2374.4,2664.5,3113.2,3405.8,4068.5,4455.9
Comoros,COM,0,0,1,0,0.3,0,0,0.5,1,1,0.2,0.2,0.3,1.2,0.9,0.2,2.1,0.7,0.8,2.2,3.9,1.6,13.9
Cabo Verde,CPV,2,0,0,0,0.3,0.7,0.3,0.2,0.6,0.3,0.2,0.2,2.4,0.3,0.4,4.1,1.2,2.1,4.9,3.1,2.4,4,8
Costa Rica,CRI,55,62,61,66,65.8,74.7,76.5,72.7,69.2,118.3,166.5,161.6,151.5,211.6,207.7,215.1,215.4,246.1,256.8,264.3,267.1,295.9,276.6
Caribbean small states,CSS,139.1129092,139.1129092,142.2987011,157.1657295,156.8471503,129.6389712,136.8353421,131.0550473,119.8097465,235.5373893,307.2803635,304.360596,334.4544512,364.2463614,393.9458298,370.6068532,454.648559,474.2801951,522.524029,458,532,547,489.9
Cuba,CUB,94,131,113,141,167.8,206.4,167,236.3,256.6,1009.4,1040.4,1018.3,778.9,815.5,939.6,1219.4,1096.8,1175.4,1398.7,1312.6,1585.2,1526,1547.9
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,8,22,24,24,43,44.5,56.6,54.7,49.3,133.8,115.3,150.1,141.3,217.5,265.6,313.8,365,434.6,575.4,620.5,656.9,736.9,888.6
Czech Republic,CZE,2881,3132,3308,2179,1954.5,2185.5,2304.4,2263.5,2359.9,4904.5,5314.6,5658.1,6133.7,6773.3,7722.3,8607,9650.9,10377.1,11026.3,12350,13152.2,13590.8,14022.4
Germany,DEU,32929,35120,34103,36901,37645,39213.4,41414.6,42955,42962.9,64372.9,65881,65845.6,67491.3,72934.4,81765.2,83335.1,87319.9,89470.3,93328.5,95135.1,98492.8,101777.8,101073.9
Djibouti,DJI,1,1,2,1,1.3,0.2,0,0.7,0.3,2,0.6,1.3,1.3,1.9,2.6,1.9,2.3,2.8,8.1,6.9,4.4,6.5,7.8
Dominica,DMA,0,0,0,2,0,0.3,0,1.5,0,0,4.1,2,4.6,2.4,6.3,4.2,3.9,5.2,6.5,8.6,6.9,10.8,11.3
Denmark,DNK,3776,4141,4068,4458,4330.1,4368.7,4597.4,4717.9,4783.3,6660.9,6650.2,6763.6,6988.1,7629.7,8111,8367.9,8824.1,9040.2,9652.1,10168,11242.1,12237.1,12482.4
Dominican Republic,DOM,11,5,9,7,5,10,6.2,7.6,5.5,12.1,7,7.3,12.2,13.6,17.7,18.1,20.2,18.6,15.5,17.3,20.7,25.5,39.1
Algeria,DZA,106,120,123,125,146.3,155.6,159.6,156.4,185.4,352.5,390.9,468.2,587.1,819.2,930,1306.1,1445.8,1829.6,2237.1,2258.5,2620,3173.8,3652.5
East Asia & Pacific (excluding high income),EAP,7143.125888,7908.675244,8601.259814,8970.657494,10238.39834,11771.82183,13451.85221,15204.17048,17293.98216,51129.09017,63236.85784,65301.58534,75738.99603,112920.6035,164211.093,191075.9866,217913.5257,254466.6474,296575.549,327714.8405,378490.2525,401255.85,434281.5503
Early-demographic dividend,EAR,24636.06761,25956.16239,26651.16565,27677.0959,28160.44686,29235.32349,30197.37327,31372.11366,32564.06144,59732.98258,63881.89383,70617.0411,78037.52371,88319.43461,100274.931,115358.7003,128856.2365,143677.5637,163447.8,184183.8,214044.9486,229687.8741,241345.7931
East Asia & Pacific,EAS,64222.36702,71778.75563,73139.24144,79557.3808,82936.12145,90316.99869,95021.78321,101588.9073,107312.8908,193352.6551,208760.3323,214272.5072,233181.1203,290757.907,364855.1477,403580.1796,438142.2074,481085.4869,532233.2829,572391.0262,634627.1782,661959.0595,699399.9335
Europe & Central Asia (excluding high income),ECA,,4110.470192,28434.87914,30771.8377,26993.87453,27331.21835,27103.6859,26250.67035,26709.22784,44817.42093,47042.5,48606.1,48545.7,54459.1,61085.7,61790.1,68202.8,72617.8,79735.4,84908.8,89663.9,92266.9,97649.4
Europe & Central Asia,ECS,175101.6274,190510.1644,216059.0354,231477.9217,232228.7645,240896.619,245769.3107,251220.8616,254310.9199,397056.8338,404472.7396,416375.4227,431104.1177,473105.4236,526020.1184,550806.9592,580862.8708,604718.4457,636697.7131,652861.6653,681610.8633,708051.354,720931.8159
Ecuador,ECU,29,18,13,27,34.3,32,44.2,31.2,23.7,70.3,59.4,86.7,96.1,92.5,126.3,122.7,138.5,150.4,182.9,191.6,168,250.4,256
"Egypt, Arab Rep.",EGY,1429,1288,1279,1380,1387.8,1292.2,1266.1,1274.8,1293,2404.1,2722.2,2782.9,3044.7,3415.2,3477.7,3916.8,4466.9,4893.8,6138.1,6697.7,7708,8929.7,9199.2
Euro area,EMU,101917.2925,112554.9067,113480.5659,123041,126877.4,133524.3,137999.5,143043.2,144280.3,223334.5,230391.7,237025.5,247118.8,271073.2,302713.6,318348.9,335091.6,349943.8,367791.3,374599.1,389644.5,405049.8,409134.6
Eritrea,ERI,0,0,0,0,0.7,2.2,0.2,6.1,2.7,3.6,6.9,11.3,14.2,11.7,12.8,18.3,27.7,11.2,8.5,12.2,16.7,7.7,10.6
Spain,ESP,7269,9267,9759,10534,11315.9,12495.1,13075.3,13719.5,14513.7,23410.1,24877.8,26374.9,27656.6,30934.5,35197,38778.5,41318.2,43309.2,46712.2,48291.9,51288.4,53644.8,53342.1
Estonia,EST,,2,177,202,215.1,270.4,229.8,304.9,340.6,442.3,485.7,488.9,532.1,603.7,707.8,843.6,998.8,1087.7,1119.2,1339.8,1365.6,1389.4,1425.8
Ethiopia,ETH,93,88,84,86,93.7,97.3,95.4,79.1,109.5,155.9,167,190.6,205,208,218.4,279.9,327.9,355.9,423.8,475.1,581.5,718.7,801.7
European Union,EUU,163997.9,178260.031,179903.88,192108,196496.6,204588.2,209480.1,215389.2,217832.5,338988.5,344152.3,354304.2,368404.4,402907.1,447790.7,470351.6,495074.9,515794.1,541144.5,552780.2,575024.4,597675.6,605535.9
Fragile and conflict affected situations,FCS,628.4825257,664.629016,614.6656459,652.2285465,605.7504114,540.3922966,633.9993775,599.9283193,613.2695468,1268.040937,1268.143587,1164.72656,1452.59494,1506.826788,1726.668401,2018.117325,2283.521708,2609.475686,2991.707302,3565.149435,3857.764332,4193.60061,4336.476977
Finland,FIN,3211,3438,3603,3974,4077,4329.6,4452.2,4513.4,4719.4,6602.1,7053,7028.1,7258.8,8127,8644.3,8892.7,9053.6,9208,9458.3,9471.5,9828.3,9985.8,10156.7
Fiji,FJI,16,10,27,11,10.2,9,12.5,10.7,14.1,24.5,27.6,32,33.1,55.1,58.5,71.8,80.2,60.9,70.3,56.8,58.3,59.5,84
France,FRA,23518,26172,26225,28266,28847.5,29746,30321.9,31393.1,31345.4,47509.7,48001.9,48419.1,49849.8,53953.1,58833,61646.6,63484.1,66206.3,68329.9,69063.2,70666.9,72424.4,72554.5
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,0,1,0,0,4.5,3,0,0.3,1.7,2.3,1.1,0,2.3,2.4,4.7,2,6.2,4.3,3.8,7.7,4.9,4.2,5.9
Gabon,GAB,14,14,11,14,16.2,11.5,18.7,21.4,23.3,25.2,27.2,28.6,30.1,34.3,44.1,43.1,34.3,43.1,50,41.9,59.4,54.4,50.3
United Kingdom,GBR,39950,42404,42456,45436,45497.6,46213.9,45883.9,46141.3,46787.9,70089,66829.1,68394.3,69741,74711.6,81156.4,84991.3,88312.4,88851.5,91757.6,91788.5,94376.1,96764.7,97332.2
Georgia,GEO,,12,158,136,118.2,126.6,135.9,127.8,131.9,215.7,189.7,201.3,179.4,251.7,277.5,329,271.6,323.7,385.8,340.4,451.4,415.2,468.4
Ghana,GHA,47,72,52,67,58.3,71.8,81.9,71.3,74.1,127.9,116.3,133.9,141.8,168.4,183,195.5,262.8,285.3,361.8,402.8,485.4,539.7,583.3
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,3,3,3,2,2.8,2.6,2.8,3,2.1,2.2,10.8,6.4,3.1,10.2,6.8,17.2,14.1,11,10.3,11.3,10.6,11.9,11.5
"Gambia, The",GMB,0,0,0,22,21.8,24.4,30,23.4,19.7,30.5,32.5,22.8,29.6,36.9,36,46.2,35.9,41.7,42.7,45.4,35.6,37.9,45.1
Guinea-Bissau,GNB,1,2,3,2,1.6,3.5,4.3,2.2,6.9,1.5,2.2,3.8,8,9.6,9.1,5.7,12.1,6.9,8.3,5.8,10.4,13.1,12
Equatorial Guinea,GNQ,0,1,3,1,0.7,0.5,0.7,0.3,2.2,0,1.7,0.5,2.2,4.1,1.5,3.7,3.8,2.6,5,4.2,3.2,3,2.4
Greece,GRC,1598,1736,1759,1974,2058.1,2249.3,2434,2611.3,2625.9,4879.8,5350.4,5900.2,6329.5,7595.6,9055.5,10500,10838.3,11532.9,11802.2,11668.3,11599,11674,11370.4
Grenada,GRD,0,0,0,2,1,0,0.5,0,1.9,1,2.5,2.4,3.7,5.6,5.7,14.1,19.3,22.8,18.3,15.3,26,26.9,33.8
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,28,25,23,22,19.5,23.8,17.9,16.1,15.8,22.3,21.7,21.9,26.4,28.7,52.9,37.9,34.5,41.8,64.6,53.7,48.8,73.2,80.5
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,6,8,4,4,7,2.8,6.3,3,4.2,9.2,8.3,8.9,6.9,11.4,20.2,10.1,14,10.6,10.1,20.1,10.9,13.4,10.7
High income,HIC,456671.8841,485106.8297,486214.4373,508712.5265,508307.173,522570.6997,526568.8078,537905.2427,541621.4848,824564.1088,832644.0371,865149.3777,899525.3256,997870.3353,1103014.377,1150222.411,1191676.845,1225435.859,1268545.535,1300886.256,1351590.139,1390132.651,1400796.298
"Hong Kong SAR, China",HKG,783,824,959,1075,,,,,,,,,,,,,,,,,,,
Honduras,HND,9,3,6,5,5.5,7.9,10.6,11.2,12.4,12.7,8,11.1,10.8,14,15.2,12.4,11.8,16.4,16.4,22.3,19,25.6,20
Heavily indebted poor countries (HIPC),HPC,737.8466029,813.4933367,791.3495352,833.0604917,818.5636057,823.7646452,901.6802182,884.1670064,894.5819309,1398.322237,1446.961273,1546.779297,1828.302726,1994.757453,2245.727589,2583.121876,3056.554181,3204.45842,3596.1,4063.7,4661.323541,4900.753163,5216.992103
Croatia,HRV,,17,575,508,600,640.3,580.5,624.6,647.1,1727.3,1753.2,1966.5,2225.5,2518.2,3008.7,2931,3480.1,3821.6,4176.6,4243,4666.5,4479.2,4359
Haiti,HTI,6,1,3,2,3.2,1.2,1.7,2.7,0.7,6.5,3.9,6.1,5.6,7.5,7.3,15.1,10.8,6.9,11.2,13.3,17.1,16.5,27.8
Hungary,HUN,1806,1824,1718,1774,1763.8,1813.1,1991.5,2201.9,2199.6,3978.1,3904.7,4147.7,4152.7,4597.2,5303.2,5331.4,5676.2,6196,5893.7,5718.8,6250.6,6340.5,6249.3
IBRD only,IBD,35870.96451,38548.86228,62594.91067,66361.16169,65008.67567,68200.57089,70934.65357,74063.97989,78510.16976,163438.6187,182764.0723,194407.0024,212237.1485,267779.692,339886.4245,388030.5129,435575.737,498005.2,566974.2,625183.8521,711686.4,756345.1439,804571.5914
IDA & IBRD total,IBT,38563.82247,41361.86798,65941.96961,69544.48321,68171.57997,71150.39965,74012.6462,77006.54632,81563.26254,169364.4049,188917.4003,200886.0045,219371.3328,275820.1792,349735.5411,399907.1649,449777.8467,513680.7179,585380.6471,646124.3891,735274.9004,780955.5852,830664.1962
IDA total,IDA,2695.220726,2809.982088,3253.320329,3069.368453,3051.582378,2832.478864,2955.959894,2814.593175,2917.351692,5643.166717,5834.260532,6139.149778,6763.5761,7567.499497,9246.680168,11192.55938,13439.07113,14799.78942,17412.72041,19848.80439,22343.88687,23285.08519,24682.24068
IDA blend,IDB,1501.511288,1434.074992,1833.323079,1712.643556,1682.171977,1511.872559,1570.307267,1465.117778,1526.001093,3285.096645,3375.914474,3611.753402,3859.412483,4346.211414,5664.417547,7088.589905,8488.770553,9459.774852,11302.99817,12833.45591,14520.25435,14712.84236,15818.5701
Indonesia,IDN,89,86,103,120,129.5,141,146.1,136,162.7,337.3,288.4,283.8,311.3,364.7,468.6,552.5,542.3,643.7,956.1,1281.3,1769.3,1992.1,2927.7
IDA only,IDX,1197.786674,1399.024475,1412.291087,1351.225041,1364.357676,1316.252726,1381.201412,1345.55947,1387.224877,2347.073927,2447.121427,2514.92248,2891.725183,3207.1457,3561.956473,4077.392409,4918.576256,5304.099131,6065.986557,6965.920088,7767.323442,8517.362563,8803.488841
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,
India,IND,9517,10100,9763,9928,9370.1,9752.8,9617.6,9944.8,10190.4,20873.8,21944.4,23622.8,26099.7,28734.7,33090.1,38321.9,43421.1,49101.4,55646.4,65915.9,80515.4,88272.7,93349.4
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,915,946,1003,1168,1217.7,1253.8,1330.8,1520.5,1458.9,2463.7,2602,2796.6,2904.3,3703.8,4588.9,4700.6,5323,5615.6,6269,6835.2,7189.5,6926,6874
"Iran, Islamic Rep.",IRN,126,150,175,233,279.5,317.7,390.6,541.3,664.8,1451.7,1772.9,2518.3,3458.6,4844.1,6919.6,9936.9,13187.7,17251.4,21100.2,25683.2,32975.5,33720.5,32964.8
Iraq,IRQ,81,79,74,67,50.8,36.2,40.4,24.7,22.9,84.4,88.7,101.1,117.5,90.7,140.8,243.9,240.7,318.8,408.2,606.6,792.5,945.3,946.5
Iceland,ISL,104,105,122,137,155.9,145.3,142.6,174.2,143.2,203.8,232.4,294.8,252,299.9,345.2,347.5,359.9,424.4,489,550.5,539.8,627.5,575.9
Israel,ISR,4873,5234,5575,5559,5740.7,5750.7,6047.4,6020.3,5928.8,8541.9,8544.6,9046.1,9268.9,9998.1,10221,10862.2,11065.4,11187.5,11072.9,10736.4,11017.1,11517.6,11300.2
Italy,ITA,13778,15462,15279,17000,17880.5,19233.8,19401.6,20056,20327.1,33492.8,34695.2,36284,39096.4,42390.1,46243.2,49272,52883.5,54676.8,57620.2,57362.5,58974.9,63310.5,66310.3
Jamaica,JAM,57,46,53,62,70,57,58.3,46.8,50,103.9,134.6,133,141.4,154.3,135,140.9,165.9,198.2,202.8,156.6,200.9,208.4,176.4
Jordan,JOR,148,135,130,144,154.1,163.1,200.5,220.4,230.3,517.6,510.5,581.2,636,742.2,790,949.5,1138.9,1312.6,1406.8,1510.4,1524.5,1514.2,1504.3
Japan,JPN,39590,44143,43339,46692,47067.9,50345,51462.4,53838.3,55273.8,86232.3,84948.5,85681.8,87389.1,93882.3,103860.8,105130,103023.2,102616.6,104732.1,104015,104795.2,104313.9,103376.6
Kazakhstan,KAZ,,19,250,191,157.6,141.4,115.3,128.5,104.6,174,163.1,179.4,212.9,194.6,229,209.9,206.7,217.1,265.5,315.3,376.4,509.9,879
Kenya,KEN,260,295,346,280,287,274.2,271.9,265.4,242.6,350.3,396.4,426.5,405.9,435,452.6,487.9,575.1,617.1,692.7,733,840.2,765,871.6
Kyrgyz Republic,KGZ,0,0,26,30,13.2,12.3,14.4,17.6,13.9,27,26.2,24.4,19.2,27.2,42.9,49.5,37.6,50.4,35.4,34.7,46.2,51.3,60.4
Cambodia,KHM,0,1,1,1,3.7,2.5,4.3,3.7,7.2,13,13,24.2,24.4,36.4,36.8,45.8,50.9,50.8,61.1,57.9,67.4,76.2,84
Kiribati,KIR,1,0,0,0,0,0,0.3,0,0,0,0.5,0,0.1,0,0,0.4,1.8,0,0.3,0.3,0,0,1.1
St. Kitts and Nevis,KNA,0,0,0,0,0,0.3,0,0,1.5,1.5,1,0.3,0.2,0.7,2,1.9,2,4,3.1,3.7,4.1,9.3,13.2
"Korea, Rep.",KOR,1361,1759,2184,2931,3803.2,4770.9,5802.2,7056.6,8478.2,14958.1,17120.5,18344.7,21801.9,26740.1,30925.9,36030.3,40199.8,43095.2,44684.1,49539.1,53821.3,56897,58844.1
Kuwait,KWT,209,104,112,186,189.3,208.9,224,234.8,295.9,461.6,493.1,468.7,485.2,538.8,610.2,658.9,711.4,748.7,782.9,740.9,798.7,820.8,843.8
Latin America & Caribbean (excluding high income),LAC,6090.255849,6908.558951,6921.563768,7525.787574,8463.034733,9416.666839,10541.84211,11807.38739,12727.28374,23731.23116,25655.9311,28238.45503,30051.23559,34272.02318,38670.73151,47064.96395,50436.74734,57663.59801,62748.26237,66742.1,70908.6,76720.9,78966.9
Lao PDR,LAO,1,1,1,0,1.8,0.9,2.4,5.5,3.8,8.6,5.9,11.9,17.7,37,22.6,42.8,26.2,35,40,43.7,48.2,60.4,69
Lebanon,LBN,47,52,54,62,54.7,62.6,103.2,102.6,124.3,356.4,372.1,343.3,431.9,482,549,622,656.6,723.5,761.4,778.8,904.1,1012,1050.3
Liberia,LBR,7,5,1,1,0.3,1,0.3,1.3,0,0,0.9,0.7,2.3,1.6,1.3,4.7,2.8,1.4,3.7,3.9,9.6,7.8,8.3
Libya,LBY,40,33,25,31,33.9,20,16.2,20.6,17.8,58.1,45.4,36.7,53.9,60.7,76.5,93.1,109.7,139.7,243.5,331.6,139.8,181,231.4
St. Lucia,LCA,4,1,5,2,0,2.8,1,2.7,0.5,0.3,0,1,0,0,0.3,0.5,0.9,0.2,0,2.3,1,0.2,0.8
Latin America & Caribbean,LCN,7085.416056,7954.211026,8014.668673,8545.688335,9590.597992,10581.26939,11780.31604,13104.20974,14091.83967,25726.32861,27794.33522,30816.76798,32729.55234,37270.74072,42046.5202,51035.08579,54848.29682,62602.90327,68089.39235,72200.36487,76930.9135,83281.08258,85553.54673
Least developed countries: UN classification,LDC,719.6800637,829.7487793,818.8469705,792.7388062,853.0985797,829.0719174,847.3244792,846.1083694,892.7203275,1615.891815,1687.564846,1714.628322,2053.13646,2250.650821,2532.856464,3007.051146,3611.460119,3784.54495,4447.689267,5108.362587,5675.192291,6370.598036,6556.552053
Low income,LIC,593.2071008,629.8248231,659.1758828,689.8067324,677.5783403,694.0872426,728.8374628,702.7493209,712.2349068,1240.601501,1292.696773,1281.28673,1524.8371,1654.248688,1830.106858,2197.208239,2475.259771,2339.647243,2723.172598,2973.390813,3373.821429,3654.285802,3908.679412
Liechtenstein,LIE,8,8,7,13,12.8,8.9,11.7,5.3,16.6,16.2,9,6.7,13.5,25.7,35.1,34.4,25,33.1,20.7,28.1,29.2,32.7,26.3
Sri Lanka,LKA,84,82,83,85,85.4,71,62.2,83.5,86.9,198.1,199.1,226.8,260,251.6,329,381.3,433.9,491,480.8,498.1,577.1,595.8,713.1
Lower middle income,LMC,13735.29224,14315.80116,17216.4542,17399.81049,16496.91169,16573.54693,16409.02483,16722.79131,17270.0466,34575.55283,36958.8008,38560.48556,41261.34024,46263.49995,53085.13612,60668.45546,68919.46864,77588.52442,88689.47769,102960.0736,122520.5188,133217.0729,141886.5504
Low & middle income,LMY,33769.94872,36374.96927,60615.14575,64205.1457,62143.63863,65131.82632,67899.61988,70650.28851,74828.6807,155945.6946,174492.0781,184370.164,201113.69,254864.5677,326192.8168,374477.6971,423155.4293,484438.1112,555199.2261,614653.5467,701800.0973,745117.7758,793273.9246
Lesotho,LSO,5,4,7,5,2.5,1,2.3,1.3,2.6,7.1,9.3,6.8,6.4,5.9,4.7,9.8,9.6,12.9,8.7,8.6,10.3,18.2,12.4
